x,y
-3.38E-01,-8.16E-21
-3.38E-01,-9.04E-21
-3.38E-01,-9.91E-21
-3.38E-01,-1.08E-20
-3.37E-01,-1.16E-20
-3.37E-01,-1.24E-20
-3.37E-01,-1.31E-20
-3.37E-01,-1.39E-20
-3.36E-01,-1.46E-20
-3.36E-01,-1.53E-20
-3.36E-01,-1.59E-20
-3.36E-01,-1.65E-20
-3.35E-01,-1.71E-20
-3.35E-01,-1.77E-20
-3.35E-01,-1.81E-20
-3.35E-01,-1.86E-20
-3.34E-01,-1.90E-20
-3.34E-01,-1.94E-20
-3.34E-01,-1.97E-20
-3.34E-01,-1.99E-20
-3.33E-01,-2.02E-20
-3.33E-01,-2.03E-20
-3.33E-01,-2.04E-20
-3.33E-01,-2.05E-20
-3.33E-01,-2.05E-20
-3.32E-01,-2.05E-20
-3.32E-01,-2.04E-20
-3.32E-01,-2.02E-20
-3.32E-01,-2.00E-20
-3.31E-01,-1.98E-20
-3.31E-01,-1.95E-20
-3.31E-01,-1.91E-20
-3.31E-01,-1.87E-20
-3.30E-01,-1.82E-20
-3.30E-01,-1.77E-20
-3.30E-01,-1.72E-20
-3.30E-01,-1.66E-20
-3.29E-01,-1.59E-20
-3.29E-01,-1.52E-20
-3.29E-01,-1.45E-20
-3.29E-01,-1.37E-20
-3.28E-01,-1.29E-20
-3.28E-01,-1.20E-20
-3.28E-01,-1.11E-20
-3.28E-01,-1.02E-20
-3.27E-01,-9.19E-21
-3.27E-01,-8.19E-21
-3.27E-01,-7.16E-21
-3.27E-01,-6.11E-21
-3.26E-01,-5.04E-21
-3.26E-01,-3.95E-21
-3.26E-01,-2.84E-21
-3.26E-01,-1.71E-21
-3.25E-01,-5.72E-22
-3.25E-01,5.76E-22
-3.25E-01,1.73E-21
-3.25E-01,2.89E-21
-3.24E-01,4.04E-21
-3.24E-01,5.20E-21
-3.24E-01,6.35E-21
-3.24E-01,7.49E-21
-3.23E-01,8.62E-21
-3.23E-01,9.74E-21
-3.23E-01,1.08E-20
-3.23E-01,1.19E-20
-3.23E-01,1.30E-20
-3.22E-01,1.40E-20
-3.22E-01,1.50E-20
-3.22E-01,1.60E-20
-3.22E-01,1.69E-20
-3.21E-01,1.78E-20
-3.21E-01,1.87E-20
-3.21E-01,1.95E-20
-3.21E-01,2.02E-20
-3.20E-01,2.10E-20
-3.20E-01,2.16E-20
-3.20E-01,2.23E-20
-3.20E-01,2.28E-20
-3.19E-01,2.34E-20
-3.19E-01,2.38E-20
-3.19E-01,2.42E-20
-3.19E-01,2.46E-20
-3.18E-01,2.48E-20
-3.18E-01,2.51E-20
-3.18E-01,2.52E-20
-3.18E-01,2.53E-20
-3.17E-01,2.54E-20
-3.17E-01,2.53E-20
-3.17E-01,2.52E-20
-3.17E-01,2.51E-20
-3.16E-01,2.48E-20
-3.16E-01,2.45E-20
-3.16E-01,2.42E-20
-3.16E-01,2.38E-20
-3.15E-01,2.33E-20
-3.15E-01,2.27E-20
-3.15E-01,2.21E-20
-3.15E-01,2.14E-20
-3.14E-01,2.07E-20
-3.14E-01,1.99E-20
-3.14E-01,1.91E-20
-3.14E-01,1.82E-20
-3.13E-01,1.72E-20
-3.13E-01,1.62E-20
-3.13E-01,1.52E-20
-3.13E-01,1.41E-20
-3.13E-01,1.29E-20
-3.12E-01,1.17E-20
-3.12E-01,1.05E-20
-3.12E-01,9.26E-21
-3.12E-01,7.98E-21
-3.11E-01,6.66E-21
-3.11E-01,5.32E-21
-3.11E-01,3.96E-21
-3.11E-01,2.57E-21
-3.10E-01,1.18E-21
-3.10E-01,-2.34E-22
-3.10E-01,-1.65E-21
-3.10E-01,-3.08E-21
-3.09E-01,-4.50E-21
-3.09E-01,-5.93E-21
-3.09E-01,-7.34E-21
-3.09E-01,-8.75E-21
-3.08E-01,-1.01E-20
-3.08E-01,-1.15E-20
-3.08E-01,-1.29E-20
-3.08E-01,-1.42E-20
-3.07E-01,-1.55E-20
-3.07E-01,-1.68E-20
-3.07E-01,-1.80E-20
-3.07E-01,-1.92E-20
-3.06E-01,-2.04E-20
-3.06E-01,-2.15E-20
-3.06E-01,-2.26E-20
-3.06E-01,-2.36E-20
-3.05E-01,-2.46E-20
-3.05E-01,-2.55E-20
-3.05E-01,-2.63E-20
-3.05E-01,-2.71E-20
-3.04E-01,-2.78E-20
-3.04E-01,-2.85E-20
-3.04E-01,-2.91E-20
-3.04E-01,-2.96E-20
-3.03E-01,-3.00E-20
-3.03E-01,-3.04E-20
-3.03E-01,-3.07E-20
-3.03E-01,-3.09E-20
-3.02E-01,-3.10E-20
-3.02E-01,-3.11E-20
-3.02E-01,-3.11E-20
-3.02E-01,-3.10E-20
-3.02E-01,-3.08E-20
